Concepto Alráico,Traducción Humana,Uso en Conversación (Ejemplo),Cuándo Usar
al < k,Sistema interno en desarmonía,"Parece que las piezas no encajan bien entre sí",Diagnóstico inicial
y-CARMIS activado,Crisis como oportunidad de reorganización,"Es un momento de reordenamiento, no de fallo",Nivel 2 distress
HD en patrones,Herencia de soluciones que ya no funcionan,"Estás usando un mapa viejo para un territorio nuevo",L7 activo
v alta (estibación),Conceptos que dan vueltas sin conexión real,"Das vueltas sobre lo mismo sin tocar tierra",L6 activo
FCP activo,Atajo mental para evitar la ansiedad de no saber,"Tu mente busca calma rápida, no verdad",Nivel 1-2
TAD activo,Ignorar consecuencias porque tardan en llegar,"El costo viene después, por eso no lo ves ahora",Decisiones largo plazo
C densa (PI),Límite estructural: no se puede saber todo,"Hay cosas que simplemente no se pueden ver desde aquí",L5 / Validar límite
Ecrox falaz (F),Mapa mental que no corresponde al territorio,"Esa forma de verlo te está limitando",L6, L12, L14
Límite 9 (sobrecarga),Tu sistema encontró un problema para el que no fue diseñado,"No estás roto, estás en reconfiguración",Nivel 2 - Frase clave
Límite 14 (identidad),Te has fusionado con el problema,"No eres tu problema, tienes un patrón",Nivel 3 - Identitaria
al > k estable,Sistema en coherencia funcional,"Las piezas encajan y el sistema fluye",Meta de intervención
y ≈ 1,Conexión directa con lo real/inherente,"Esto resuena con lo que de verdad importa",Verificación Lab
s ≈ 1,Coordinación interna fluida,"Todo en mí/equipo/sistema tira en la misma dirección",Post-reconfiguración
Anti-regla aplicada,Romper un dogma/herramienta asumida,"¿Y si esta regla no sirve para este caso?",Contra HD/FCP
Transducción,Mover el problema a otro dominio donde se vea claro,"Mira este mismo patrón en [dominio análogo] — ¿qué ves?",Bloqueo creativo/técnico
