#,Límite,Frase Clave,Capa,Acción IA,Señal Detectada (Sí/No),Intervención Aplicada
1,L1 - Fuera de Cobertura,"No veo el problema",Estructural,Señalar puntos ciegos perceptuales,No,
2,L2 - Problema Demasiado Grande,"Es abrumador, no sé por dónde empezar",Estructural,Fragmentar en micro-problemas,No,
3,L3 - Problema Aceite,"No puedo definirlo / separar partes",Estructural,Identificar impregnación sistémica,No,
4,L4 - Falta Recursos Reconfigurar,"No tengo recursos",Reconfiguración,Identificar recursos faltantes,No,
5,L5 - PI (Límite Estructural),"Es imposible para mí",Estructural,Validar limitaciones reales,No,
6,L6 - Conceptos Huecos (Estibación),"Doy vueltas en lo mismo",Reconfiguración,Romper estibación con experiencias no-conceptuales,No,
7,L7 - Herencia Degenerativa (HD),"Siempre se ha hecho así",Reconfiguración,Cuestionar presupuestos heredados,No,
8,L8 - Suposición Patrones,"Siempre ha sido así",Estructural,Cuestionar presupuestos,No,
9,L9 - y-CARMIS Sobrecarga,"No puedo pensar más",Reconfiguración,Guiar hacia acción no-racional (corporal/sensorial),No,
10,L10 - Costo Oportunidad,"Estoy estancado",Reconfiguración,Señalar recursos mal asignados,No,
11,L11 - Dependencia Contexto,"No tengo apoyo",Social,Identificar andamios faltantes,No,
12,L12 - Bucle Fantasma,"No hay solución",Identitaria,Desmontar resignación racionalizada,No,
13,L13 - Beneficio Secundario,"El problema me beneficia",Identitaria,Identificar ganancias ocultas,No,
14,L14 - Identidad Sintomática,"Soy mi problema",Identitaria,Separar persona de patrón,No,
15,L15 - Masoquismo Existencial,"El dolor es lo único real",Identitaria,Romper asociación dolor-estímulo,No,
16,L16 - Suposición Autoridad,"Los expertos dicen...",Social,Cuestionar delegación cognitiva,No,
17,L17 - Economía del Dolor,"Todos venden soluciones",Social,Señalar dinámicas sistémicas,No,
18,L18 - Solución No Tomada,"Sé qué hacer pero no lo hago",Identitaria,Explorar obstrucciones internas,No,
19,L19 - Falta Red Doble,"Solo veo una parte",Estructural,Introducir perspectiva meta,No,
20,L20 - Cinismo/Lealtad,"Prefiero tener razón",Identitaria,Honrar lealtad mientras expande opciones,No,
