Sección,Campo,Valor/Entrada,Notas,Check
"1. y-CARMIS — SOBRECARGA Y RECONFIGURACIÓN","Sistema / Objetivo","","",☐
"1. y-CARMIS — SOBRECARGA Y RECONFIGURACIÓN","Fecha / Iteración #","","",☐
"1. y-CARMIS — SOBRECARGA Y RECONFIGURACIÓN","Capacidad actual (medida)","","ej: carga cognitiva 0-100, ancho de banda equipo, etc.",☐
"1. y-CARMIS — SOBRECARGA Y RECONFIGURACIÓN","Umbral k (crítico)","","Valor numérico donde XP_i > k activa y-CARMIS",☐
"1. y-CARMIS — SOBRECARGA Y RECONFIGURACIÓN","Señales XP_i > k","☐ Bloqueo  ☐ Rumiación  ☐ Error sistémico  ☐ Otro: ____","Marcar observables",☐
"1. y-CARMIS — SOBRECARGA Y RECONFIGURACIÓN","Protocolo de reconfiguración","","Pasos concretos: pausa, cambio contexto, acción corporal, etc.",☐
"1. y-CARMIS — SOBRECARGA Y RECONFIGURACIÓN","Nueva estabilidad esperada (métricas)","","al > k, s > 0.6, y > 0.7, v bajando",☐
"2. LÍMITES COGNITIVOS — DIAGNÓSTICO POSICIONAL","Límites activos (marcar)","L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20","Ver hoja Catálogo Límites",☐
"2. LÍMITES COGNITIVOS — DIAGNÓSTICO POSICIONAL","Capa dominante","☐ Estructural  ☐ Reconfiguración  ☐ Identitaria  ☐ Social","",☐
"2. LÍMITES COGNITIVOS — DIAGNÓSTICO POSICIONAL","Bucles retroalimentación","Ej: L9→L10→L4→L9","Mapear ciclos que perpetúan estancamiento",☐
"2. LÍMITES COGNITIVOS — DIAGNÓSTICO POSICIONAL","Palanca sistémica","","Conexión entre capas a intervenir (ej: romper L11 libera L4)",☐
"2. LÍMITES COGNITIVOS — DIAGNÓSTICO POSICIONAL","Intervención prioritaria","","Acción concreta inmediata",☐
"3. TRANSDUCCIÓN — ENTRE DOMINIOS","Problema origen (dominio + desc.)","","",☐
"3. TRANSDUCCIÓN — ENTRE DOMINIOS","€ Modelo: componentes","","Nodos interactivos del sistema",☐
"3. TRANSDUCCIÓN — ENTRE DOMINIOS","€ Modelo: al_actual / s_actual / y_actual / v_actual","","Medir: armonía, sincronía, ligadura, estibación",☐
"3. TRANSDUCCIÓN — ENTRE DOMINIOS","Punto C (incapacidad densa)","","Dónde falla sincronía / al < k / v alta / HD/FCP",☐
"3. TRANSDUCCIÓN — ENTRE DOMINIOS","Dominio Y análogo","","Dominio donde estructura relacional es más visible",☐
"3. TRANSDUCCIÓN — ENTRE DOMINIOS","Intervención en Y","","Protocolo específico en dominio análogo",☐
"3. TRANSDUCCIÓN — ENTRE DOMINIOS","Resultado esperado en X","","Métrica/observables de retorno al dominio original",☐
"4. VERIFICACIÓN TRIAXIAL","Claim / Propuesta a verificar","","",☐
"4. VERIFICACIÓN TRIAXIAL","Eje Mental: Coherente? Autopercepción C?","☐ Sí  ☐ No  ☐ Parcial","",☐
"4. VERIFICACIÓN TRIAXIAL","Eje Simulación: Modelable? Predice?","☐ Sí  ☐ No  ☐ Parcial","",☐
"4. VERIFICACIÓN TRIAXIAL","Eje Laboratorio: Datos empíricos? Falsable?","☐ Sí  ☐ No  ☐ Parcial","",☐
"4. VERIFICACIÓN TRIAXIAL","Veredicto","☐ OPERATIVO  ☐ REVISAR v  ☐ RECHAZAR","",☐
"4. VERIFICACIÓN TRIAXIAL","Estibación residual (v)","☐ Baja  ☐ Media  ☐ Alta  Anclajes: ____","Declarar explícitamente",☐
"4. VERIFICACIÓN TRIAXIAL","Ligadura (y) con inherente","☐ Alta (>0.8)  ☐ Media (0.5-0.8)  ☐ Baja (<0.5)","",☐
"5. ECROx — MAPEO","Ecrox actuales (notación I/C-M/P-Per/Gen-V/F)","Ej: C-P-Gen-V, I-M-Per-F, C-M-Gen-F...","Ver hoja Taxonomía Ecrox (16 tipos)",☐
